estate,estate_eng,estate_chi,age_5,t_pop,elderly_share,elder_dominant,time_label
60047,Aberdeen Centre,香港仔中心,1884,8353,0.225547707,TRUE,morning
60050,Aegean Coast,愛琴海岸,735,4182,0.175753228,FALSE,non-morning
20001,Affluence Garden,澤豐花園,965,5893,0.163753606,FALSE,non-morning
20002,Aldrich Garden,愛蝶灣,1700,8644,0.196668209,FALSE,non-morning
60056,Allway Gardens,荃威花園,2067,8732,0.236715529,TRUE,morning
60064,Amoy Gardens,淘大花園,1603,10791,0.148549717,FALSE,non-morning
10001,Ap Lei Chau Estate,鴨脷洲邨,3488,11960,0.291638796,TRUE,morning
60072,Aqua Marine,碧海藍天,402,4367,0.092054042,FALSE,non-morning
60085,Avon Park,碧湖花園,331,2929,0.113007853,FALSE,non-morning
60087,Baguio Villa,碧瑤灣,840,5339,0.157332834,FALSE,non-morning
60094,Banyan Garden,泓景臺,335,6515,0.0514198,FALSE,non-morning
20003,Bauhinia Garden,寶盈花園,1654,9255,0.178714209,FALSE,non-morning
60106,Bayshore Towers,海柏花園,402,2963,0.135673304,),non-morning
60111,Bayview Garden,灣景花園,600,3929,0.152710613,FALSE,non-morning
60123,Bedford Gardens,百福花園,933,3950,0.236202532,TRUE,morning
60126,Bel-Air,貝沙灣,1063,8795,0.120864127,FALSE,non-morning
60128,Belair Gardens,富豪花園,1120,5680,0.197183099,FALSE,non-morning
60129,Belair Monte,綠悠軒,556,4790,0.116075157,FALSE,non-morning
60134,Bellagio,碧堤半島,1191,8970,0.13277592,FALSE,non-morning
60145,Belvedere Garden,麗城花園,3666,18968,0.193272881,FALSE,non-morning
20004,Beverly Garden,富康花園,1605,12038,0.133327795,FALSE,non-morning
60173,Braemar Hill Mansion,賽西湖大廈,605,3045,0.198686371,FALSE,non-morning
20005,Broadview Court,雅濤閣,891,4087,0.218008319,TRUE,morning
40003,Broadview Garden,偉景花園,1519,5155,0.294665373,TRUE,morning
10002,Butterfly Estate,蝴蝶邨,2793,10680,0.261516854,TRUE,morning
20006,Carado Garden,雲疊花園,1434,5399,0.265604742,TRUE,morning
60200,Caribbean Coast,映灣園,1983,13863,0.143042631,FALSE,non-morning
60219,Castello,帝堡城,641,5191,0.123482951,FALSE,non-morning
60227,Celestial Heights,半山壹號,316,3265,0.096784074,FALSE,non-morning
60231,Central Park,帝柏海灣,436,3873,0.112574232,FALSE,non-morning
60232,Central Park Towers,柏慧豪園,670,4369,0.15335317,FALSE,non-morning
60233,Central Park Towers II,柏慧豪廷,341,2922,0.11670089,FALSE,non-morning
62147,Century Gateway,瓏門,374,5067,0.073810933,FALSE,non-morning
62202,Century Link,東環,423,4477,0.094482913,FALSE,non-morning
10003,Chai Wan Estate,柴灣邨,957,3578,0.267467859,TRUE,morning
10004,Chak On Estate,澤安邨,1181,3913,0.301814465,TRUE,morning
20007,Charming Garden,富榮花園,2142,11335,0.18897221,FALSE,non-morning
20008,Cheerful Garden,富怡花園,1421,5367,0.264766164,TRUE,morning
60243,Chelsea Court,爵悅庭,362,4061,0.089140606,FALSE,non-morning
60245,Chelsea Heights,卓爾居,431,4415,0.097621744,FALSE,non-morning
20009,Cheong Shing Court,昌盛苑,430,3853,0.11160135,FALSE,non-morning
10005,Cheung Ching Estate,長青邨,3648,13788,0.264577894,TRUE,morning
10006,Cheung Fat Estate,長發邨,1402,6232,0.224967908,TRUE,morning
10007,Cheung Hang Estate,長亨邨,3529,12878,0.274033235,TRUE,morning
10008,Cheung Hong Estate,長康邨,6352,20387,0.311571099,TRUE,morning
10205,Cheung Lung Wai Estate,祥龍圍邨,668,3344,0.199760766,FALSE,non-morning
10010,Cheung On Estate,長安邨,5652,19391,0.291475427,TRUE,morning
10206,Cheung Sha Wan Estate,長沙灣邨,687,3209,0.214085385,TRUE,morning
10011,Cheung Shan Estate,象山邨,1487,5045,0.294747275,TRUE,morning
10012,Cheung Wah Estate,祥華邨,3743,12633,0.296287501,TRUE,morning
10013,Cheung Wang Estate,長宏邨,1940,11576,0.167588113,FALSE,non-morning
20010,Cheung Wo Court,祥和苑,1322,4039,0.32730874,TRUE,morning
20011,Chevalier Garden,富安花園,2474,10029,0.246684615,TRUE,morning
60257,Chi Fu Fa Yuen,置富花園,2904,9813,0.295933965,TRUE,morning
10014,Ching Ho Estate,清河邨,2849,18387,0.15494643,FALSE,non-morning
20014,Ching Tai Court,青泰苑,1422,5984,0.23763369,TRUE,morning
20015,Ching Wah Court,青華苑,1222,6313,0.193568826,FALSE,non-morning
30001,Cho Yiu Chuen,祖堯邨,2727,6717,0.405984815,TRUE,morning
10015,Choi Fai Estate,彩輝邨,1016,3923,0.25898547,TRUE,morning
10016,Choi Fook Estate,彩福邨,1992,10775,0.18487239,FALSE,non-morning
10017,Choi Ha Estate,彩霞邨,1640,5453,0.30075188,TRUE,morning
20172,Choi Hing Court,彩興苑,571,3500,0.163142857,FALSE,non-morning
10018,Choi Hung Estate,彩虹邨,5382,17817,0.302071056,TRUE,morning
20017,Choi Ming Court,彩明苑,2474,14150,0.174840989,FALSE,non-morning
20018,Choi Po Court,彩蒲苑,918,4745,0.193466807,FALSE,non-morning
10019,Choi Tak Estate,彩德邨,2651,13588,0.195098616,FALSE,non-morning
10020,Choi Wan (1) Estate,彩雲（１）邨,4364,16756,0.26044402,TRUE,morning
10021,Choi Wan (2) Estate,彩雲（２）邨,2136,8485,0.251738362,TRUE,morning
10022,Choi Ying Estate,彩盈邨,1768,9682,0.182606899,FALSE,non-morning
10023,Choi Yuen Estate,彩園邨,3128,11696,0.26744186,TRUE,morning
10024,Chuk Yuen North Estate,竹園北邨,5208,16989,0.306551298,TRUE,morning
10025,Chuk Yuen South Estate,竹園南邨,3965,14147,0.280271436,TRUE,morning
20019,Chun Man Court,俊民苑,1328,4929,0.269425847,TRUE,morning
10026,Chun Shek Estate,秦石邨,1889,5212,0.362432847,TRUE,morning
10223,Chun Yeung Estate,駿洋邨,1244,9834,0.126499898,FALSE,non-morning
20020,Chung Ming Court,頌明苑,1221,4936,0.247366288,TRUE,morning
20021,Chung Nga Court,頌雅苑,1146,5613,0.204168894,TRUE,morning
10027,Chung On Estate,頌安邨,1636,8220,0.199026764,FALSE,non-morning
60285,City Garden,城市花園,1931,7224,0.267303433,TRUE,morning
60286,City One Shatin,沙田第一城,4528,23778,0.190428127,FALSE,non-morning
62148,City Point,環宇海灣,502,5593,0.089755051,FALSE,non-morning
40005,Clague Garden Estate,祈德尊新邨,1121,3507,0.319646421,TRUE,morning
60287,Classical Gardens,新峰花園,561,4090,0.137163814,FALSE,non-morning
60297,Coastal Skyline,藍天海岸,1207,7198,0.167685468,FALSE,non-morning
60316,Cosmopolitan Estate,大同新邨,1250,5035,0.248262165,TRUE,morning
62185,Cullinan West,匯璽,192,5276,0.036391205,FALSE,non-morning
60330,Dawning Views,牽晴間,709,6500,0.109076923,FALSE,non-morning
60337,Discovery Bay,愉景灣,1974,18585,0.106214689,FALSE,non-morning
60338,Discovery Park,愉景新城,1402,8978,0.156159501,FALSE,non-morning
62150,Double Cove,迎海,631,8958,0.07043983,FALSE,non-morning
60362,East Point City,東港城,733,5757,0.127323259,FALSE,non-morning
20022,Elegance Garden,富雅花園,677,3034,0.223137772,TRUE,morning
60406,Fairview Park,錦綉花園,2673,14881,0.179625025,FALSE,non-morning
60410,Fanling Centre,粉嶺中心,759,5146,0.147493199,FALSE,non-morning
60412,Fanling Town Center,粉嶺名都,503,2904,0.173209366,FALSE,non-morning
60421,Festival City,名城,821,14457,0.056789099,FALSE,non-morning
60429,Flora Plaza,花都廣場,699,6622,0.105557233,FALSE,non-morning
60454,Fortress Garden,富澤花園,754,3860,0.195336788,FALSE,non-morning
10029,Fortune Estate,幸福邨,1390,4587,0.303030303,TRUE,morning
10030,Fu Cheong Estate,富昌邨,3986,15655,0.254615139,TRUE,morning
10031,Fu Heng Estate,富亨邨,3569,15393,0.231858637,TRUE,morning
20025,Fu Keung Court,富強苑,990,3557,0.278324431,TRUE,morning
20026,Fu Ning Garden,富寧花園,1730,6988,0.247567258,TRUE,morning
10032,Fu Shan Estate,富山邨,1299,5572,0.233129935,TRUE,morning
10033,Fu Shin Estate,富善邨,3985,13198,0.301939688,TRUE,morning
10034,Fu Tai Estate,富泰邨,2462,16659,0.147787982,FALSE,non-morning
10035,Fu Tung Estate,富東邨,941,5254,0.179101637,FALSE,non-morning
10036,Fuk Loi Estate,福來邨,2086,6905,0.302099928,TRUE,morning
20027,Fullview Garden,富景花園,1906,9175,0.20773842,TRUE,morning
20029,Fung Shing Court,豐盛苑,1558,5950,0.261848739,TRUE,morning
10037,Fung Tak Estate,鳳德邨,3136,12066,0.259903862,TRUE,morning
10038,Fung Wah Estate,峰華邨,861,3303,0.260672116,TRUE,morning
10207,Fung Wo Estate,豐和邨,810,3435,0.23580786,TRUE,morning
60496,Galaxia,星河明居,468,4964,0.094278807,FALSE,non-morning
60500,Garden Rivera,河畔花園,328,2624,0.125,FALSE,non-morning
20031,Glorious Garden,富健花園,1809,9153,0.197640118,FALSE,non-morning
60521,Golden Lion Garden Phase 1,金獅花園１期,374,2484,0.150563607,FALSE,non-morning
60522,Golden Lion Garden Phase 2,金獅花園２期,478,3185,0.150078493,FALSE,non-morning
60533,Goodview Garden,豐景園,245,2796,0.087625179,FALSE,non-morning
60541,Grand Del Sol,朗晴居,262,3165,0.082780411,FALSE,non-morning
60545,Grand Horizon,海欣花園,295,3372,0.087485172,FALSE,non-morning
60547,Grand Promenade,嘉亨灣,416,4801,0.086648615,FALSE,non-morning
20032,Grand View Garden,宏景花園,1051,6615,0.15888133,FALSE,non-morning
60550,Grand Waterfront,翔龍灣,401,4400,0.091136364,FALSE,non-morning
62193,Grand YOHO,Grand YOHO,278,4486,0.061970575,FALSE,non-morning
10039,Grandeur Terrace,俊宏軒,1313,13755,0.095456198,FALSE,non-morning
60586,Greenfield Garden,翠怡花園,839,7996,0.104927464,FALSE,non-morning
20034,Greenwood Terrace,康翠臺,1493,6061,0.246328989,TRUE,morning
60628,Hanford Garden,恒福花園,572,4444,0.128712871,FALSE,non-morning
60643,Harbour Green,君滙港,285,3329,0.085611295,FALSE,non-morning
60645,Harbour Place,海濱南岸,493,6704,0.073538186,FALSE,non-morning
20037,Harmony Garden,富欣花園,1440,6697,0.215021651,TRUE,morning
10040,Hau Tak Estate,厚德邨,2905,12491,0.232567449,TRUE,morning
60658,Healthy Gardens,健威花園,663,2532,0.261848341,TRUE,morning
30003,Healthy Village,健康村,1673,5278,0.316976127,TRUE,morning
60667,Heng Fa Chuen,杏花邨,3674,17963,0.204531537,TRUE,morning
10041,Heng On Estate,恒安邨,5195,15791,0.328984865,TRUE,morning
40008,Highland Park,浩景臺,471,4303,0.109458517,FALSE,non-morning
10043,Hin Keng Estate,顯徑邨,4619,15216,0.30356204,TRUE,morning
10045,Hing Man Estate,興民邨,1539,5990,0.256928214,TRUE,morning
10046,Hing Tin Estate,興田邨,2285,6467,0.353332302,TRUE,morning
10047,Hing Tung Estate,興東邨,1644,6076,0.270572745,TRUE,morning
10048,Hing Wah (1) Estate,興華（１）邨,1565,6403,0.24441668,TRUE,morning
10049,Hing Wah (2) Estate,興華（２）邨,2180,7936,0.274697581,TRUE,morning
20038,Hiu Lai Court,曉麗苑,2807,13786,0.20361236,TRUE,morning
10050,Ho Man Tin Estate,何文田邨,3252,12329,0.263768351,TRUE,morning
10051,Hoi Fu Court,海富苑,2186,9540,0.229140461,TRUE,morning
10052,Hoi Lai Estate,海麗邨,2824,16071,0.175720241,FALSE,non-morning
20171,Hoi Lok Court,凱樂苑,1263,7247,0.174279012,FALSE,non-morning
10226,Hoi Tat Estate,海達邨,413,3415,0.120937042,FALSE,non-morning
10218,Hoi Ying Estate,海盈邨,494,3444,0.143437863,FALSE,non-morning
60735,Hong Kong Garden,豪景花園,1488,7678,0.193800469,FALSE,non-morning
60736,Hong Kong Gold Coast,香港黃金海岸,606,4603,0.13165327,FALSE,non-morning
20041,Hong Lam Court,康林苑,658,2976,0.221102151,TRUE,morning
60743,Hong Lok Yuen,康樂園,670,4694,0.142735407,FALSE,non-morning
20042,Hong Nga Court,康雅苑,1207,4971,0.242808288,TRUE,morning
20043,Hong Pak Court,康柏苑,1419,6353,0.223359043,TRUE,morning
20044,Hong Sing Garden,康盛花園,1102,5200,0.211923077,TRUE,morning
20046,Hong Wah Court,康華苑,652,3904,0.167008197,FALSE,non-morning
20047,Hong Yat Court,康逸苑,820,4839,0.169456499,FALSE,non-morning
10208,Hung Fuk Estate,洪福邨,1445,11771,0.122759324,FALSE,non-morning
10054,Hung Hom Estate,紅磡邨,1766,6744,0.261862396,TRUE,morning
62215,I-Feng Mansion,益豐大廈,498,3249,0.153277932,FALSE,non-morning
60780,Island Harbourview,維港灣,870,6236,0.139512508,FALSE,non-morning
60783,Island Resort,藍灣半島,1137,9025,0.12598338,FALSE,non-morning
30004,Jat Min Chuen,乙明邨,3541,9424,0.375742784,TRUE,morning
60815,Jubilee Garden,銀禧花園,708,5781,0.122470161,FALSE,non-morning
10055,Ka Fuk Estate,嘉福邨,1166,5939,0.196329348,FALSE,non-morning
20051,Ka Lung Court,嘉隆苑,1137,3906,0.29109063,TRUE,morning
20052,Ka Shing Court,嘉盛苑,1286,6633,0.193879089,FALSE,non-morning
20053,Ka Tin Court,嘉田苑,576,4690,0.122814499,FALSE,non-morning
30005,Ka Wai Chuen,家維邨,1982,6634,0.298763943,TRUE,morning
10209,Kai Ching Estate,啟晴邨,1843,11876,0.155186932,FALSE,non-morning
40009,Kai Tak Garden,啟德花園,1029,3928,0.261965377,TRUE,morning
10056,Kai Tin Estate,啟田邨,1483,5866,0.25281282,TRUE,morning
20055,Kai Tsui Court,佳翠苑,687,3379,0.20331459,TRUE,morning
10057,Kai Yip Estate,啟業邨,2716,8869,0.306235201,TRUE,morning
20056,Kam Fung Court,錦豐苑,2946,15368,0.191697033,FALSE,non-morning
20058,Kam Lung Court,錦龍苑,780,3989,0.195537729,FALSE,non-morning
20060,Kam Tai Court,錦泰苑,2248,10074,0.2231487,TRUE,morning
20061,Kam Ying Court,錦英苑,2305,9561,0.241083569,TRUE,morning
10059,Kin Ming Estate,健明邨,2729,19190,0.142209484,FALSE,non-morning
10060,Kin Sang Estate,建生邨,1774,7242,0.244959956,TRUE,morning
10061,King Lam Estate,景林邨,3524,13144,0.268107121,TRUE,morning
20065,King Shan Court,瓊山苑,1163,3999,0.290822706,TRUE,morning
20066,King Shing Court,景盛苑,1224,6870,0.178165939,FALSE,non-morning
20067,King Tin Court,景田苑,946,3541,0.267156171,TRUE,morning
20068,Kingsford Terrace,嘉峰臺,1019,5698,0.178834679,FALSE,non-morning
40010,Kingston Terrace,景新臺,441,3330,0.132432432,FALSE,non-morning
60895,Kingswood Villas,嘉湖山莊,6876,40177,0.171142694,FALSE,non-morning
10062,Ko Cheung Court,高翔苑,1052,6419,0.163888456,FALSE,non-morning
20069,Ko Chun Court,高俊苑,846,4432,0.190884477,FALSE,non-morning
10063,Ko Yee Estate,高怡邨,1023,3185,0.321193093,TRUE,morning
60911,Kornhill,康怡花園,3752,17636,0.212746655,TRUE,morning
20070,Kornhill Gardens,康山花園,1320,5619,0.234917245,TRUE,morning
20071,Kwai Chun Court,葵俊苑,768,3120,0.246153846,TRUE,morning
10064,Kwai Chung Estate,葵涌邨,5778,34532,0.167323063,FALSE,non-morning
10065,Kwai Fong Estate,葵芳邨,4203,17136,0.245273109,TRUE,morning
10066,Kwai Hing Estate,葵興邨,1183,3444,0.343495935,TRUE,morning
10067,Kwai Luen Estate,葵聯邨,909,7409,0.122688622,FALSE,non-morning
10068,Kwai Shing East Estate,葵盛東邨,4411,16983,0.259730319,TRUE,morning
10069,Kwai Shing West Estate,葵盛西邨,3406,13574,0.250920878,TRUE,morning
10070,Kwong Fuk Estate,廣福邨,4900,16075,0.304821151,TRUE,morning
20074,Kwong Lam Court,廣林苑,1183,4976,0.237741158,TRUE,morning
20075,Kwong Ming Court,廣明苑,2460,12027,0.204539785,TRUE,morning
10071,Kwong Tin Estate,廣田邨,1970,7165,0.274947662,TRUE,morning
10072,Kwong Yuen Estate,廣源邨,3167,11612,0.272735102,TRUE,morning
30006,Kwun Lung Lau,觀龍樓,1291,6156,0.2097141,TRUE,morning
30007,Kwun Tong Garden Estate,觀塘花園大廈,3526,11801,0.298788238,TRUE,morning
60947,La Cite Noble,新寶城,617,5470,0.112797075,FALSE,non-morning
60959,Laguna City,麗港城,3340,22319,0.149648282,FALSE,non-morning
60960,Laguna Verde,海逸豪園,1602,12664,0.126500316,FALSE,non-morning
10073,Lai King Estate,荔景邨,3317,10530,0.315004748,TRUE,morning
10074,Lai Kok Estate,麗閣邨,2227,6200,0.359193548,TRUE,morning
10075,Lai On Estate,麗安邨,983,3534,0.278155065,TRUE,morning
30008,Lai Tak Tsuen,勵德邨,2199,6211,0.354049267,TRUE,morning
20170,Lai Tsui Court,麗翠苑,1819,10438,0.174267101,FALSE,non-morning
20077,Lai Yan Court,荔欣苑,882,5526,0.159609121,FALSE,non-morning
10076,Lai Yiu Estate,麗瑤邨,1945,7925,0.245425868,TRUE,morning
60970,Lake Silver,銀湖‧天峰,566,6438,0.087915502,FALSE,non-morning
10077,Lam Tin Estate,藍田邨,1360,7907,0.171999494,FALSE,non-morning
10078,Lee On Estate,利安邨,2210,10522,0.210036115,TRUE,morning
10079,Lei Cheng Uk Estate,李鄭屋邨,3244,11259,0.288125056,TRUE,morning
60992,Lei King Wan,鯉景灣,1191,6389,0.186414149,FALSE,non-morning
10080,Lei Muk Shue (1) Estate,梨木樹（１）邨,1605,6579,0.243958048,TRUE,morning
10081,Lei Muk Shue (2) Estate,梨木樹（２）邨,2938,11895,0.246994536,TRUE,morning
10082,Lei Muk Shue Estate,梨木樹邨,1559,9271,0.168158775,FALSE,non-morning
20078,Lei On Court,鯉安苑,903,4909,0.183947851,FALSE,non-morning
10083,Lei Tung Estate,利東邨,5805,18575,0.312516824,TRUE,morning
10084,Lei Yue Mun Estate,鯉魚門邨,2053,9662,0.212481888,TRUE,morning
10085,Lek Yuen Estate,瀝源邨,2366,7866,0.300788202,TRUE,morning
10086,Leung King Estate,良景邨,3780,17404,0.21719145,TRUE,morning
61000,Liberte,昇悅居,449,6009,0.074721251,FALSE,non-morning
61001,Lido Garden,麗都花園,559,3932,0.142166836,FALSE,non-morning
62201,LOHAS Park - LP6,日出康城－LP6,475,5081,0.093485534,FALSE,non-morning
62199,LOHAS Park - Malibu,日出康城－Malibu,195,3826,0.050967067,FALSE,non-morning
61010,"LOHAS Park - The Capitol, Le Prestige, Le Prime, La Splendeur, Hemera",日出康城－首都、領都、領峰、領凱、緻藍天,2608,25273,0.103193131,FALSE,non-morning
62200,LOHAS Park - Wings at Sea,日出康城－晉海,276,5085,0.054277286,FALSE,non-morning
10087,Lok Fu Estate,樂富邨,2700,9944,0.271520515,TRUE,morning
20079,Lok Hin Terrace,樂軒臺,1038,4425,0.234576271,TRUE,morning
30009,Lok Man Sun Chuen,樂民新村,3133,8696,0.360280589,TRUE,morning
20080,Lok Nga Court,樂雅苑,823,3179,0.258886442,TRUE,morning
10088,Lok Wah North Estate,樂華北邨,2400,8499,0.282386163,TRUE,morning
10089,Lok Wah South Estate,樂華南邨,5438,13258,0.410167446,TRUE,morning
10091,Long Ping Estate,朗屏邨,4820,21864,0.220453714,TRUE,morning
10221,Long Shin Estate,朗善邨,337,3086,0.109202852,FALSE,non-morning
10210,Lower Ngau Tau Kok Estate,牛頭角下邨,2026,11426,0.177314896,FALSE,non-morning
10092,Lower Wong Tai Sin (1) Estate,黃大仙下（１）邨,3084,11295,0.273041169,TRUE,morning
10093,Lower Wong Tai Sin (2) Estate,黃大仙下（２）邨,4500,18247,0.246615882,TRUE,morning
61024,Lucky Plaza,好運中心,560,3401,0.164657454,FALSE,non-morning
61031,Luk Yeung Sun Chuen,綠楊新邨,2144,10420,0.205758157,TRUE,morning
10094,Lung Hang Estate,隆亨邨,3669,12170,0.301479047,TRUE,morning
20082,Lung Mun Oasis,龍門居,2378,10911,0.217945193,TRUE,morning
20083,Lung Poon Court,龍蟠苑,1870,8550,0.21871345,TRUE,morning
10097,Ma Tau Wai Estate,馬頭圍邨,1524,4942,0.308377175,TRUE,morning
61082,Manhattan Hill,曼克頓山,342,3140,0.108917197,FALSE,non-morning
62186,Mantin Heights,皓畋,185,3189,0.058011916,FALSE,non-morning
20086,May Shing Court,美城苑,1534,5211,0.294377279,TRUE,morning
61101,Mayfair Gardens,美景花園,589,4915,0.119837233,FALSE,non-morning
20087,Mei Chung Court,美松苑,1280,5239,0.244321435,TRUE,morning
61107,Mei Foo Sun Chuen,美孚新邨,9606,37299,0.257540417,TRUE,morning
62214,Mei King Mansion,美景樓,651,3421,0.190295235,FALSE,non-morning
10098,Mei Lam Estate,美林邨,2962,9834,0.301199919,TRUE,morning
10099,Mei Tin Estate,美田邨,2603,17254,0.150863568,FALSE,non-morning
10100,Mei Tung Estate,美東邨,871,4411,0.197460893,FALSE,non-morning
20088,Melody Garden,美樂花園,1149,6383,0.1800094,FALSE,non-morning
61120,Metro City,新都城,2295,18347,0.12508857,FALSE,non-morning
